"Code","SiteCode","Level","Pcode","Province_EN","Province_TH","Dcode","Distinct_EN","Distinct_TH","Scode","SubDistinct_EN","SubDistinct_TH","Zone","Name_TH","Name_EN","Htype","HType2","Hsize","P_Funded","Focus","Prioritization","CDC","NEAB","x","y"
"11311","11311","Site/Hospital","P76","Phetchaburi","เพชรบุรี","7605","Tha Yang","อ.ท่ายาง","760501",NULL,NULL,"Z05","รพ.ท่ายาง","Thayang","Public","District H","M","Domestic only","Non-PF",NULL,NULL,NULL,"99.890775750615","12.9667825547562"
"11312","11312","Site/Hospital","P76","Phetchaburi","เพชรบุรี","7606","Ban Lat","อ.บ้านลาด","760616",NULL,NULL,"Z05","รพ.บ้านลาด","Ban Lad","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.884298834","13.057205127"
"11313","11313","Site/Hospital","P76","Phetchaburi","เพชรบุรี","7607","Ban Laem","อ.บ้านแหลม","760701",NULL,NULL,"Z05","รพ.บ้านแหลม","Ban Laem","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.9793265718688","13.2054707342988"
"11314","11314","Site/Hospital","P76","Phetchaburi","เพชรบุรี","7608","Kaeng Krachan","อ.แก่งกระจาน","760803",NULL,NULL,"Z05","รพ.แก่งกระจาน","Kaengkrachan","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.722776","12.92562"
"11315","11315","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7702","Kui Buri","อ.กุยบุรี","770201",NULL,NULL,"Z05","รพ.กุยบุรี","Kuiburi","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.857156","12.038975"
"11316","11316","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7703","Thap Sakae","อ.ทับสะแก","770303",NULL,NULL,"Z05","รพ.ทับสะแก","Thapsakae","Public","District H","M","Domestic only","Non-PF",NULL,NULL,NULL,"99.604262761","11.48436541"
"11317","11317","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7704","Bang Saphan","อ.บางสะพาน","770401",NULL,NULL,"Z05","รพ.บางสะพาน","Bangsaphan","Public","District H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.500104939","11.220619725"
"11318","11318","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7705","Bang Saphan Noi","อ.บางสะพานน้อย","770501",NULL,NULL,"Z05","รพ.บางสะพานน้อย","Bangsaphannoi","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.417880692","11.066542201"
"11319","11319","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7706","Pran Buri","อ.ปราณบุรี","770608",NULL,NULL,"Z05","รพ.ปราณบุรี","Pranburi","Public","District H","M","Domestic only","Non-PF",NULL,NULL,NULL,"99.933078","12.384542"
"11320","11320","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7707","Hua Hin","อ.หัวหิน","770701",NULL,NULL,"Z05","รพ.หัวหิน","Huahin","Public","General H","ML","Domestic only","Non-PF",NULL,NULL,NULL,"99.950781971","12.605074004"
"11321","11321","Site/Hospital","P77","Prachuap Khiri Khan","ประจวบคีรีขันธ์","7708","Sam Roi Yot","อ.สามร้อยยอด","770805",NULL,NULL,"Z05","รพ.สามร้อยยอด","Samroiyod","Public","District H","M","Domestic only","Non-PF",NULL,NULL,NULL,"99.8585595879033","12.2095592514852"
"11322","11322","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8002","Phrom Khiri","อ.พรหมคีรี","800201",NULL,NULL,"Z11","รพ.พรหมคีรี","Promkiri","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.822049649","8.5229615461"
"11323","11323","Site/Hospital","P85","Ranong","ระนอง","8502","La-Un","อ.ละอุ่น","850203",NULL,NULL,"Z11","รพ.ละอุ่น","La-un","Public","District H","SS","Domestic only","Non-PF",NULL,NULL,NULL,"98.7359960551817","10.1174389168746"
"11324","11324","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8003","Lan Saka","อ.ลานสกา","800301",NULL,NULL,"Z11","รพ.ลานสกา","Lansaka","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"8.36498765","99.80011582"
"11325","11325","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8004","Chawang","อ.ฉวาง","800410",NULL,NULL,"Z11","รพร.ฉวาง","Chawang Crown Prince","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.524048014","8.438853278"
"11326","11326","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8005","Phipun","อ.พิปูน","800504",NULL,NULL,"Z11","รพ.พิปูน","Phipun","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.6081553429675","8.54033176560451"
"11327","11327","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8006","Chian Yai","อ.เชียรใหญ่","800607",NULL,NULL,"Z11","รพ.เชียรใหญ่","Chianyai","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"100.13735879","8.1619652311"
"11328","11328","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8007","Cha-Uat","อ.ชะอวด","800701",NULL,NULL,"Z11","รพ.ชะอวด","Chaua","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.984399989","7.9933564247"
"11329","11329","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8008","Tha Sala","อ.ท่าศาลา","800801",NULL,NULL,"Z11","รพ.ท่าศาลา","Thasala","Public","District H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"99.92331505","8.66017268"
"11330","11330","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8009","Thung Song","อ.ทุ่งสง","800901",NULL,NULL,"Z11","รพ.ทุ่งสง","Thungsong","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"99.679991596","8.1638326612"
"11331","11331","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8010","Na Bon","อ.นาบอน","801001",NULL,NULL,"Z11","รพ.นาบอน","Nabon","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.582825","8.259378"
"11332","11332","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8011","Thung Yai","อ.ทุ่งใหญ่","801101",NULL,NULL,"Z11","รพ.ทุ่งใหญ่","Thungyai","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.360557074","8.3175243209"
"11333","11333","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8012","Pak Phanang","อ.ปากพนัง","801214",NULL,NULL,"Z11","รพ.ปากพนัง","Pakpanag","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"100.19813418","8.35869308"
"11334","11334","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8013","Ron Phibun","อ.ร่อนพิบูลย์","801301",NULL,NULL,"Z11","รพ.ร่อนพิบูลย์","Ron Phibun","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.8651942","8.1711942357"
"11335","11335","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8014","Sichon","อ.สิชล","801401",NULL,NULL,"Z11","รพ.สิชล","Sichon","Public","General H","ML","Add-on GF","Non-PF",NULL,NULL,NULL,"99.903917172","9.003981268"
"11336","11336","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8015","Khanom","อ.ขนอม","801501",NULL,NULL,"Z11","รพ.ขนอม","Kanom","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.860447221","9.2077577108"
"11337","11337","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8016","Hua Sai","อ.หัวไทร","801601",NULL,NULL,"Z11","รพ.หัวไทร","Huai Sai","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"100.28622866","8.04775676"
"11338","11338","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8017","Bang Khan","อ.บางขัน","801702",NULL,NULL,"Z11","รพ.บางขัน","Bangkhan","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.49282981","8.0233334329"
"11339","11339","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8018","Tham Phannara","อ.ถ้ำพรรณรา","801801",NULL,NULL,"Z11","รพ.ถ้ำพรรณรา","Tham Phannara","Public","District H","SS","Add-on GF","Non-PF",NULL,NULL,NULL,"99.372375118","8.4258930618"
"11340","11340","Site/Hospital","P81","Krabi","กระบี่","8102","Khao Phanom","อ.เขาพนม","810201",NULL,NULL,"Z11","รพ.เขาพนม","Khao Phanom","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.0462577265427","8.25727741611211"
"11341","11341","Site/Hospital","P81","Krabi","กระบี่","8103","Ko Lanta","อ.เกาะลันตา","810301",NULL,NULL,"Z11","รพ.เกาะลันตา","Koh Lanta","Public","District H","SS","Domestic only","Non-PF",NULL,NULL,NULL,"99.0977172132616","7.51968826697629"
"11342","11342","Site/Hospital","P81","Krabi","กระบี่","8104","Khlong Thom","อ.คลองท่อม","810401",NULL,NULL,"Z11","รพ.คลองท่อม","Klongtom","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.143524655348","7.95218800736123"
"11343","11343","Site/Hospital","P81","Krabi","กระบี่","8105","Ao Luek","อ.อ่าวลึก","810501",NULL,NULL,"Z11","รพ.อ่าวลึก","Ao Luek","Public","District H","M","Domestic only","Non-PF",NULL,NULL,NULL,"98.742151","8.401771"
"11344","11344","Site/Hospital","P81","Krabi","กระบี่","8106","Plai Phraya","อ.ปลายพระยา","810601",NULL,NULL,"Z11","รพ.ปลายพระยา","Phaiphraya","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.8655617830163","8.53307996985719"
"11345","11345","Site/Hospital","P81","Krabi","กระบี่","8107","Lam Thap","อ.ลำทับ","810701",NULL,NULL,"Z11","รพ.ลำทับ","Lamthap","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.3014649276474","8.06260356963329"
"11346","11346","Site/Hospital","P81","Krabi","กระบี่","8108","Nuea Khlong","อ.เหนือคลอง","810801",NULL,NULL,"Z11","รพ.เหนือคลอง","Nuea Khlong","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"99.003775495","8.0555680932"
"11347","11347","Site/Hospital","P82","Phangnga","พังงา","8202","Ko Yao","อ.เกาะยาว","820201",NULL,NULL,"Z11","รพ.เกาะยาวชัยพัฒน์","Kohyaochaipat","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.59943569","8.11278661"
"11348","11348","Site/Hospital","P82","Phangnga","พังงา","8203","Kapong","อ.กะปง","820302",NULL,NULL,"Z11","รพ.กะปงชัยพัฒน์","Kapong Chaipat","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.401422057","8.6802163091"
"11349","11349","Site/Hospital","P82","Phangnga","พังงา","8204","Takua Thung","อ.ตะกั่วทุ่ง","820406",NULL,NULL,"Z11","รพ.ตะกั่วทุ่ง","Takua Thung","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.3037060453195","8.2799493705084"
"11350","11350","Site/Hospital","P82","Phangnga","พังงา","8205","Takua Pa","อ.ตะกั่วป่า","820503",NULL,NULL,"Z11","รพ.บางไทร พังงา","Bangsai Phangnga","Public","District H","SS","Domestic only","Non-PF",NULL,NULL,NULL,"98.3658300868462","8.81678815228444"
"11352","11352","Site/Hospital","P82","Phangnga","พังงา","8206","Khura Buri","อ.คุระบุรี","820601",NULL,NULL,"Z11","รพ.คุระบุรีชัยพัฒน์","Kuraburi Chaipat","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.418796653","9.1885539707"
"11353","11353","Site/Hospital","P82","Phangnga","พังงา","8207","Thap Put","อ.ทับปุด","820701",NULL,NULL,"Z11","รพ.ทับปุด","Tubpud","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.6293505408227","8.50094973640816"
"11354","11354","Site/Hospital","P82","Phangnga","พังงา","8208","Thai Mueang","อ.ท้ายเหมือง","820801",NULL,NULL,"Z11","รพ.ท้ายเหมืองชัยพัฒน์","Thai Muang Chaipat","Public","District H","SM","Domestic only","Non-PF",NULL,NULL,NULL,"98.2604638809509","8.40132027414928"
"11355","11355","Site/Hospital","P83","Phuket","ภูเก็ต","8302","Kathu","อ.กะทู้","830202",NULL,NULL,"Z11","รพ.ป่าตอง","Patong","Public","District H","M","Add-on PEPFAR","PF-1",NULL,"CDC",NULL,"98.3017974451829","7.89563345634555"
"11356","11356","Site/Hospital","P83","Phuket","ภูเก็ต","8303","Thalang","อ.ถลาง","830301",NULL,NULL,"Z11","รพ.ถลาง","Thalang","Public","District H","M","Add-on PEPFAR","PF-1",NULL,"CDC",NULL,"98.335788954","8.0229750977"
"11357","11357","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8402","Kanchanadit","อ.กาญจนดิษฐ์","840207",NULL,NULL,"Z11","รพ.กาญจนดิษฐ์","Kanchanadit","Public","District H","M","Add-on GF","Non-PF",NULL,NULL,NULL,"99.4931709227121","9.16118823624861"
"11358","11358","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8403","Don Sak","อ.ดอนสัก","840301",NULL,NULL,"Z11","รพ.ดอนสัก","Donsak","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.6945364106404","9.31842467759952"
"11359","11359","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8405","Ko Pha-Ngan","อ.เกาะพะงัน","840501",NULL,NULL,"Z11","รพ.เกาะพะงัน","Koh Phangan","Public","District H","SM","Add-on GF","Non-PF",NULL,NULL,NULL,"99.9911835684297","9.73598683521984"
